AWB,ConsigneePostal,KiloWgt,PieceQty,CommitDate,DestLocCd,CourierRoute
4.47E+11,58200,0.3,1,19/9/2017,KUL,872
4.85E+11,47100,19.6,1,19/9/2017,XKL,965936
7.76E+11,47200,1.4,1,19/9/2017,XKL,RAWANG
7.36E+11,52200,1.3,1,19/9/2017,KUL,843
1.06E+11,40675,1.4,1,19/9/2017,XKL,915912
7.76E+11,64000,8.2,1,19/9/2012,MKZ,
1.22E+11,40000,8.7,1,19/9/2017,XKL,937934
7.90E+11,50480,0.2,1,19/9/2017,KUL,859
7.90E+11,81300,0.9,1,19/9/2017,JHB,
1.21E+11,40150,1.8,1,19/9/2017,XKL,RAWANG
7.76E+11,40150,2.7,1,19/9/2017,XKL,RAWANG
7.90E+11,40460,2.3,1,19/9/2017,XKL,925928
7.76E+11,93400,0.5,1,19/9/2018,KCH,
7.90E+11,28700,5.2,2,19/9/2018,KBR,
7.90E+11,47500,1.1,1,19/9/2017,XKL,930932
1.03E+11,47810,0.8,1,19/9/2013,XKL,977982
4.40E+11,75260,8.8,2,19/9/2017,MKZ,
7.76E+11,47600,22.2,2,19/9/2017,XKL,935934
7.76E+11,47600,6.8,1,19/9/2017,XKL,935934
7.13E+11,40150,3.2,1,19/9/2012,XKL,RAWANG
7.76E+11,40150,10,1,19/9/2017,XKL,920922
7.76E+11,68100,50.8,3,19/9/2017,KUL,849
7.90E+11,55000,0.8,1,19/9/2017,KUL,813+
7.90E+11,57000,1.9,2,19/9/2017,KUL,872
7.90E+11,50480,1,1,19/9/2017,KUL,859
7.90E+11,62654,0.1,1,19/9/2017,XKL,969938
4.47E+11,50480,0.4,1,19/9/2017,KUL,859
7.76E+11,64000,4.5,1,19/9/2012,MKZ,
4.91E+11,47301,0.5,1,19/9/2017,XKL,970972
7.90E+11,70400,1.9,1,19/9/2017,RDN,
7.90E+11,81100,5.9,3,19/9/2017,JHB,
7.76E+11,79200,5.9,1,19/9/2018,JHB,
1.20E+11,47400,5.4,1,19/9/2017,XKL,973972
4.41E+11,43650,0.1,1,19/9/2017,RDN,
7.76E+11,71800,10,1,19/9/2017,RDN,
7.90E+11,53100,1.7,1,19/9/2017,KUL,839
4.75E+11,40460,0.8,1,19/9/2017,XKL,925928
7.76E+11,43900,2.3,1,19/9/2012,MKZ,
7.76E+11,42700,4.1,4,19/9/2018,MKZ,
7.76E+11,40150,0.5,1,19/9/2017,XKL,920922
4.82E+11,47810,5.4,1,19/9/2017,XKL,980982
4.82E+11,47810,18.1,2,19/9/2017,XKL,980982
7.76E+11,64000,2.7,1,19/9/2012,MKZ,
7.76E+11,40150,4.5,1,19/9/2018,XKL,RAWANG
4.89E+11,46050,16.6,2,19/9/2017,KUL,860
4.90E+11,70300,0.2,1,19/9/2017,RDN,
7.76E+11,98000,12.2,1,19/9/2019,ODN,
1.23E+11,40000,6,1,19/9/2017,XKL,911912
1.10E+11,46200,4.5,1,19/9/2017,KUL,863
1.22E+11,47610,87.1,2,19/9/2017,XKL,935934
4.93E+11,55000,14,1,19/9/2017,KUL,814
6.79E+11,64000,1,1,19/9/2017,MKZ,
7.90E+11,40170,0.2,1,19/9/2012,XKL,KAPAR+
7.90E+11,43300,0.3,1,19/9/2017,KUL,877
7.76E+11,55100,0,1,19/9/2012,KUL,825
4.95E+11,80300,1,1,19/9/2017,JHB,
1.12E+11,59200,2.4,1,19/9/2017,KUL,851
1.12E+11,47800,2.4,1,19/9/2017,XKL,971976
7.76E+11,81700,0.2,1,19/9/2012,JHB,
7.90E+11,68100,0.5,1,19/9/2017,KUL,849
7.76E+11,68100,0.1,1,19/9/2012,KUL,
7.76E+11,93050,0.5,1,19/9/2013,KCH,
4.39E+11,40150,4.5,1,19/9/2017,XKL,911926
7.76E+11,59200,0.5,1,19/9/2012,KUL,851
1.01E+11,41050,0.6,1,19/9/2017,XKL,KAPAR+
7.91E+11,64000,3,1,19/9/2012,MKZ,
4.92E+11,57000,11.3,1,19/9/2017,KUL,879
4.92E+11,41050,12.2,1,19/9/2017,XKL,KULBK+
6.69E+11,84007,2.5,1,19/9/2017,MUR,
1.23E+11,,1.8,1,19/9/2017,XKL,970972
7.76E+11,75450,36.3,2,19/9/2017,MKZ,
7.76E+11,50088,0.5,1,19/9/2012,KUL,827
7.90E+11,46200,2.6,1,19/9/2017,KUL,863
7.90E+11,41200,0.1,1,19/9/2017,XKL,919916
4.75E+11,42700,2.7,1,19/9/2018,MKZ,
7.90E+11,42300,65.4,10,19/9/2018,SZB,
4.81E+11,40170,1.4,1,19/9/2017,XKL,KAPAR+
4.65E+11,81100,0.6,1,19/9/2017,JHB,
7.76E+11,59200,0.5,1,19/9/2012,KUL,853
4.52E+11,75350,1.8,1,19/9/2017,MKZ,
1.10E+11,50100,0.8,1,19/9/2018,KUL,823
1.18E+11,64000,0.5,1,19/9/2017,MKZ,
7.76E+11,47100,32.7,2,19/9/2012,XKL,963936
7.76E+11,50100,0.5,1,19/9/2012,KUL,823+
7.76E+11,47500,0.9,1,19/9/2017,XKL,KULBK+
7.90E+11,40400,1.8,2,19/9/2017,XKL,921926
4.68E+11,58200,5,1,19/9/2017,KUL,877
1.20E+11,46350,0.6,1,19/9/2017,KUL,863
7.76E+11,59200,0.1,1,19/9/2012,KUL,853
4.55E+11,59200,0.1,1,19/9/2012,KUL,853
7.76E+11,79200,0.5,1,19/9/2013,JHB,
7.76E+11,47100,0.5,1,19/9/2017,XKL,963936
1.13E+11,47100,1.3,1,19/9/2017,XKL,965936
1.14E+11,40460,0.5,1,19/9/2012,XKL,929928
7.76E+11,47500,0.2,1,19/9/2012,XKL,930932
7.90E+11,47301,7.7,1,19/9/2017,XKL,970972
7.90E+11,81400,1.8,1,19/9/2018,JHB,
7.76E+11,43500,0.1,1,19/9/2017,RDN,
4.39E+11,86000,6.7,1,19/9/2012,KUD,
1.16E+11,59200,0.5,1,19/9/2013,KUL,851
7.90E+11,55000,0.5,1,19/9/2017,KUL,813
8.12E+11,58100,87.1,11,19/9/2017,KUL,871
1.13E+11,59200,0.5,1,19/9/2012,KUL,853
7.91E+11,43900,10,1,19/9/2012,MKZ,
1.08E+11,50250,1.4,1,19/9/2017,KUL,827
4.68E+11,57100,0.2,1,19/9/2013,KUL,810
7.76E+11,47620,0.5,1,19/9/2013,XKL,939934
4.39E+11,40150,0.5,1,19/9/2018,XKL,RAWANG
7.76E+11,50470,2.3,1,19/9/2017,KUL,850
1.23E+11,47610,27.2,1,19/9/2012,XKL,935934
7.91E+11,43900,3,1,19/9/2012,MKZ,
4.66E+11,46050,0.1,1,19/9/2017,KUL,860
7.76E+11,40100,0.4,1,19/9/2012,XKL,911926
