AWB,ConsigneePostal,KiloWgt,PieceQty,CommitDate,DestLocCd,CourierRoute
1.22E+11,47200,1.1,1,19/9/2013,XKL,KULBK+
7.90E+11,47810,2.7,1,19/9/2013,XKL,980982
6.77E+11,47100,1.4,1,19/9/2013,XKL,965936
6.77E+11,40150,2.5,1,19/9/2013,XKL,RAWANG
7.90E+11,47301,3.2,1,19/9/2013,XKL,970972
7.76E+11,50470,0.5,1,19/9/2017,KUL,850
4.59E+11,73200,0.5,1,19/9/2017,SZB,
4.89E+11,46200,3.6,1,19/9/2017,XKL,RAWANG
7.76E+11,84150,0.2,1,19/9/2013,MUR,
7.76E+11,59200,0.5,1,19/9/2013,KUL,853+
7.76E+11,46100,0.5,1,19/9/2013,KUL,865
7.76E+11,42100,11.3,2,19/9/2013,XKL,KAPAR+
6.12E+11,47200,5.9,1,19/9/2013,XKL,RAWANG
7.90E+11,47300,0.5,1,19/9/2013,XKL,MKZAC8
1.18E+11,40150,0.5,1,19/9/2013,XKL,920922
7.90E+11,50480,0.5,1,19/9/2013,KUL,859
4.86E+11,62618,0.6,1,19/9/2013,XKL,969938
7.90E+11,46150,1.8,1,19/9/2013,XKL,930932
1.21E+11,75350,4.6,1,19/9/2017,MKZ,
1.16E+11,75350,5.4,1,19/9/2013,MKZ,
7.76E+11,47630,0.1,1,19/9/2013,XKL,939934
7.76E+11,47200,15.4,1,19/9/2013,XKL,KULBK+
7.90E+11,42000,1.4,1,19/9/2013,XKL,995918
4.51E+11,55100,0.1,1,19/9/2013,KUL,825
7.90E+11,46100,2.2,1,19/9/2017,KUL,865
4.86E+11,48000,0.5,1,19/9/2013,XKL,RAWANG
7.76E+11,50400,0.5,1,19/9/2013,KUL,827
1.12E+11,40000,1.3,1,19/9/2013,XKL,911912
6.33E+11,40000,0.9,1,19/9/2013,XKL,927928
1.15E+11,40150,0.5,1,19/9/2017,XKL,920922
1.24E+11,47200,1.4,1,19/9/2013,XKL,KULBK+
4.32E+11,47200,40.8,1,19/9/2013,KUL,928
1.14E+11,47200,1.8,1,19/9/2013,XKL,KULBK+
7.76E+11,64000,2.7,1,19/9/2013,MKZ,
1.15E+11,52200,421.1,51,19/9/2013,KUL,844+
7.76E+11,47301,0.2,1,19/9/2013,XKL,970972
7.76E+11,81250,3.2,1,19/9/2013,JHB,
7.76E+11,42000,5,1,19/9/2013,XKL,KAPAR+
4.09E+11,81560,6.4,1,19/9/2018,JHB,
1.15E+11,52200,3.8,1,19/9/2013,KUL,844
1.21E+11,81560,1.4,1,19/9/2017,JHB,
7.90E+11,71807,0,1,19/9/2013,RDN,
4.95E+11,40150,0.9,1,19/9/2017,XKL,920922
7.90E+11,52200,0,1,19/9/2013,KUL,844
7.76E+11,50088,0.5,1,19/9/2013,KUL,827
7.76E+11,50088,0.5,1,19/9/2013,KUL,827
1.22E+11,47100,0.5,1,19/9/2013,XKL,965936
7.76E+11,86000,0.2,1,19/9/2013,KUD,
7.76E+11,47200,0.5,1,19/9/2013,XKL,RAWANG
1.15E+11,52200,289,65,19/9/2013,KUL,844
4.18E+11,40150,3.6,1,19/9/2013,XKL,RAWANG
1.10E+11,43650,0.9,1,19/9/2013,RDN,
7.90E+11,98000,0.5,1,19/9/2017,ODN,
7.76E+11,68000,2.3,1,19/9/2013,KUL,815
